sample	toxin	family	in_assembly_pct	in_reads_breadth_pct	in_reads_meanDepth	call
S07	S12_CdtB	CDTB	99.0	86.0941	24.8037	present_both
S07	S13_CdtB	CDTB	0.0	0	0	absent
S07	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S07	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S08	S01_RHS	RHS	0.0	0	0	absent
S08	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S08	S03_CdtB	CDTB	0.0	0	0	absent
S08	S04_CdtB	CDTB	0.0	0	0	absent
S08	S05_RHS	RHS	0.0	0	0	absent
S08	S06_RHS	RHS	0.0	0	0	absent
S08	S07_cdtB	CDTB	0.0	0	0	absent
S08	S08_MAC	MAC	99.1	100	167.065	present_both
S08	S09_Shiga	SHIGA	0.0	0	0	absent
S08	S10_MAC	MAC	98.0	85.8238	5.10115	assembly_only
S08	S11_RHS	RHS	0.0	0	0	absent
S08	S12_CdtB	CDTB	0.0	0	0	absent
S08	S13_CdtB	CDTB	0.0	0	0	absent
S08	S14_MAC_FirstPart	MAC	97.5	0	0	assembly_only
S08	S14_MAC_SecondPart	MAC	96.1	0	0	assembly_only
S09	S01_RHS	RHS	0.0	0	0	absent
S09	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S09	S03_CdtB	CDTB	0.0	0	0	absent
S09	S04_CdtB	CDTB	0.0	0	0	absent
S09	S05_RHS	RHS	0.0	0	0	absent
S09	S06_RHS	RHS	0.0	0	0	absent
S09	S07_cdtB	CDTB	0.0	0	0	absent
S09	S08_MAC	MAC	0.0	0	0	absent
S09	S09_Shiga	SHIGA	99.2	100	156.588	present_both
S09	S10_MAC	MAC	0.0	0	0	absent
S09	S11_RHS	RHS	0.0	0	0	absent
S09	S12_CdtB	CDTB	0.0	0	0	absent
S09	S13_CdtB	CDTB	0.0	0	0	absent
S09	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S09	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S10	S01_RHS	RHS	0.0	0	0	absent
S10	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S10	S03_CdtB	CDTB	0.0	0	0	absent
S10	S04_CdtB	CDTB	0.0	0	0	absent
S10	S05_RHS	RHS	0.0	0	0	absent
S10	S06_RHS	RHS	0.0	0	0	absent
S10	S07_cdtB	CDTB	0.0	0	0	absent
S10	S08_MAC	MAC	92.3	36.5079	0.365079	assembly_only
S10	S09_Shiga	SHIGA	0.0	0	0	absent
S10	S10_MAC	MAC	99.1	100	13.1019	present_both
S10	S11_RHS	RHS	0.0	0	0	absent
S10	S12_CdtB	CDTB	0.0	0	0	absent
S10	S13_CdtB	CDTB	0.0	0	0	absent
S10	S14_MAC_FirstPart	MAC	97.5	0	0	assembly_only
S10	S14_MAC_SecondPart	MAC	97.9	81.1024	0.811024	assembly_only
S11	S01_RHS	RHS	62.2	0	0	absent
S11	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S11	S03_CdtB	CDTB	0.0	0	0	absent
S11	S04_CdtB	CDTB	0.0	0	0	absent
S11	S05_RHS	RHS	81.6	0	0	assembly_only
S11	S06_RHS	RHS	62.2	0	0	absent
S11	S07_cdtB	CDTB	0.0	0	0	absent
S11	S08_MAC	MAC	0.0	0	0	absent
S11	S09_Shiga	SHIGA	0.0	0	0	absent
S11	S10_MAC	MAC	0.0	0	0	absent
S11	S11_RHS	RHS	99.9	100	51.5123	present_both
S11	S12_CdtB	CDTB	0.0	0	0	absent
S11	S13_CdtB	CDTB	0.0	0	0	absent
S11	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S11	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S12	S01_RHS	RHS	0.0	0	0	absent
S12	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S12	S03_CdtB	CDTB	0.0	0	0	absent
S12	S04_CdtB	CDTB	0.0	0	0	absent
S12	S05_RHS	RHS	0.0	0	0	absent
S12	S06_RHS	RHS	0.0	0	0	absent
S12	S07_cdtB	CDTB	99.0	82.9243	28.6472	present_both
S12	S08_MAC	MAC	0.0	0	0	absent
S12	S09_Shiga	SHIGA	0.0	0	0	absent
S12	S10_MAC	MAC	0.0	0	0	absent
S12	S11_RHS	RHS	0.0	0	0	absent
S12	S12_CdtB	CDTB	99.0	100	1645.57	present_both
S12	S13_CdtB	CDTB	0.0	0	0	absent
S12	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S12	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S13	S01_RHS	RHS	0.0	0	0	absent
S13	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S13	S03_CdtB	CDTB	98.6	100	473.437	present_both
S13	S04_CdtB	CDTB	98.6	100	458.85	present_both
S13	S05_RHS	RHS	0.0	0	0	absent
S13	S06_RHS	RHS	0.0	0	0	absent
S13	S07_cdtB	CDTB	0.0	0	0	absent
S13	S08_MAC	MAC	0.0	0	0	absent
S13	S09_Shiga	SHIGA	0.0	0	0	absent
S13	S10_MAC	MAC	0.0	0	0	absent
S13	S11_RHS	RHS	0.0	0	0	absent
S13	S12_CdtB	CDTB	0.0	0	0	absent
S13	S13_CdtB	CDTB	98.6	100	430.01	present_both
S13	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S13	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S14	S01_RHS	RHS	0.0	0	0	absent
S14	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S14	S03_CdtB	CDTB	0.0	0	0	absent
S14	S04_CdtB	CDTB	0.0	0	0	absent
S14	S05_RHS	RHS	0.0	0	0	absent
S14	S06_RHS	RHS	0.0	0	0	absent
S14	S07_cdtB	CDTB	0.0	0	0	absent
S14	S08_MAC	MAC	92.4	0	0	assembly_only
S14	S09_Shiga	SHIGA	0.0	0	0	absent
S14	S10_MAC	MAC	99.2	100	1.90268	assembly_only
S14	S11_RHS	RHS	0.0	0	0	absent
S14	S12_CdtB	CDTB	0.0	0	0	absent
S14	S13_CdtB	CDTB	0.0	0	0	absent
S14	S14_MAC_FirstPart	MAC	97.5	0	0	assembly_only
S14	S14_MAC_SecondPart	MAC	98.6	35.5643	0.355643	assembly_only
