sample	contig	length	class	meanDepth	sitesTested	discordantSites	per_kb	medianMAF	siteSpan	dispersal	blocks	pattern
S05	contig_11	811192	chromosome	13.8	714836	0	0.00	0.00	0	0.000	0	clean
S05	contig_1	428393	chromosome	12.4	303888	1	0.00	0.73	0	0.000	1	clustered
S05	contig_9	272758	chromosome	13.5	210442	0	0.00	0.00	0	0.000	0	clean
S05	contig_2	210195	chromosome	11.1	123628	191	1.54	0.31	5147	0.024	1	clustered
S05	contig_10	156002	chromosome	11.0	87725	0	0.00	0.00	0	0.000	0	clean
S05	contig_19	73402	other	34.2	73009	0	0.00	0.00	0	0.000	0	clean
S05	contig_7	54959	other	9.4	29262	0	0.00	0.00	0	0.000	0	clean
S05	contig_8	46796	other	58.4	46796	202	4.32	0.28	5398	0.115	1	clustered
S05	contig_13	39266	other	10.9	27315	0	0.00	0.00	0	0.000	0	clean
S05	contig_21	35855	other	15.6	32622	0	0.00	0.00	0	0.000	0	clean
S05	contig_20	31557	other	21.3	31557	0	0.00	0.00	0	0.000	0	clean
S05	contig_6	16754	other	7.5	7493	0	0.00	0.00	0	0.000	0	clean
S05	contig_17	10312	other	16.8	9780	526	53.78	0.27	9913	0.961	1	DISPERSED
S05	contig_16	8342	other	5.3	0	0	0.00	0.00	0	0.000	0	clean
S05	contig_15	7303	other	11.4	6237	235	37.68	0.30	6592	0.903	1	DISPERSED
S05	contig_14	3402	other	92.7	3402	0	0.00	0.00	0	0.000	0	clean
S06	contig_6	39099	APSE	128.1	34530	0	0.00	0.00	0	0.000	0	clean
S06	contig_1	1406076	chromosome	99.5	1388610	0	0.00	0.00	0	0.000	0	clean
S06	contig_2	549672	chromosome	88.3	546691	1	0.00	0.33	0	0.000	1	clustered
S06	contig_8	82411	other	71.1	82411	416	5.05	0.32	9101	0.110	1	clustered
S06	contig_4	78251	other	85.9	78251	0	0.00	0.00	0	0.000	0	clean
S06	contig_5	68560	other	142.6	68560	0	0.00	0.00	0	0.000	0	clean
S06	contig_7	49165	other	63.8	49165	0	0.00	0.00	0	0.000	0	clean
S06	contig_9	31643	other	89.3	31643	0	0.00	0.00	0	0.000	0	clean
S06	contig_3	12010	other	87.5	12010	0	0.00	0.00	0	0.000	0	clean
S07	contig_5	38642	APSE	1760.0	38507	201	5.22	0.31	38126	0.987	1	DISPERSED
S07	contig_4	17114	APSE	2177.0	17114	0	0.00	0.00	0	0.000	0	clean
S07	contig_1	10921	APSE	826.7	10921	0	0.00	0.00	0	0.000	0	clean
S07	contig_2	2066358	chromosome	33.8	2065367	387	0.19	0.38	12269	0.006	1	clustered
S07	contig_7	75753	other	66.6	75753	0	0.00	0.00	0	0.000	0	clean
S07	contig_9	35855	other	42.3	35855	1	0.03	0.29	0	0.000	1	clustered
S07	contig_8	31557	other	52.3	31557	0	0.00	0.00	0	0.000	0	clean
S07	contig_6	13248	other	1.0	0	0	0.00	0.00	0	0.000	0	clean
S07	contig_3	7158	other	1243.0	7158	0	0.00	0.00	0	0.000	0	clean
S08	contig_27	37098	APSE	173.2	37098	0	0.00	0.00	0	0.000	0	clean
S08	contig_23	185852	chromosome	6.1	9856	0	0.00	0.00	0	0.000	0	clean
S08	contig_22	140021	chromosome	6.1	7110	0	0.00	0.00	0	0.000	0	clean
S08	contig_26	133581	chromosome	7.0	16670	0	0.00	0.00	0	0.000	0	clean
S08	contig_5	121076	chromosome	6.5	14209	0	0.00	0.00	0	0.000	0	clean
S08	contig_28	113721	chromosome	6.0	9487	0	0.00	0.00	0	0.000	0	clean
S08	contig_10	107973	chromosome	5.8	8084	0	0.00	0.00	0	0.000	0	clean
S08	contig_11	102111	chromosome	5.8	3487	0	0.00	0.00	0	0.000	0	clean
S08	contig_1	85455	other	7.5	17228	0	0.00	0.00	0	0.000	0	clean
S08	contig_18	76607	other	5.9	9425	0	0.00	0.00	0	0.000	0	clean
S08	contig_15	75104	other	5.5	9179	0	0.00	0.00	0	0.000	0	clean
S08	contig_8	73915	other	4.9	475	0	0.00	0.00	0	0.000	0	clean
S08	contig_25	71737	other	7.0	15597	0	0.00	0.00	0	0.000	0	clean
S08	contig_13	70618	other	5.8	7488	0	0.00	0.00	0	0.000	0	clean
S08	contig_16	63695	other	6.0	6178	0	0.00	0.00	0	0.000	0	clean
S08	contig_12	62699	other	5.3	2054	0	0.00	0.00	0	0.000	0	clean
S08	contig_30	62427	other	4.8	1798	0	0.00	0.00	0	0.000	0	clean
S08	contig_7	59248	other	6.6	9001	0	0.00	0.00	0	0.000	0	clean
S08	contig_31	58431	other	13.2	49804	0	0.00	0.00	0	0.000	0	clean
S08	contig_24	55902	other	4.8	452	2	4.42	0.30	1	0.000	1	clustered
S08	contig_4	53929	other	6.2	10224	0	0.00	0.00	0	0.000	0	clean
S08	contig_19	42007	other	6.5	3632	0	0.00	0.00	0	0.000	0	clean
S08	contig_2	38216	other	5.8	0	0	0.00	0.00	0	0.000	0	clean
S08	contig_9	34430	other	5.9	6202	0	0.00	0.00	0	0.000	0	clean
S08	contig_29	31472	other	8.9	15696	0	0.00	0.00	0	0.000	0	clean
S08	contig_6	24483	other	6.5	5182	0	0.00	0.00	0	0.000	0	clean
S08	contig_3	24085	other	5.7	3373	0	0.00	0.00	0	0.000	0	clean
S08	contig_17	20641	other	7.0	7876	42	5.33	0.36	3466	0.168	1	clustered
S08	contig_20	18075	other	3.2	0	0	0.00	0.00	0	0.000	0	clean
S08	contig_14	15368	other	5.3	3912	289	73.88	0.50	4123	0.268	1	clustered
S08	contig_21	11121	other	31.7	7546	703	93.16	0.25	7506	0.675	1	DISPERSED
S09	contig_43	36922	APSE	167.0	36922	0	0.00	0.00	0	0.000	0	clean
S09	contig_19	150278	chromosome	5.3	13699	0	0.00	0.00	0	0.000	0	clean
S09	contig_16	127268	chromosome	3.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_40	76489	other	5.5	5923	18	3.04	0.27	118	0.002	1	clustered
S09	contig_2	70465	other	3.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_14	69711	other	6.8	11085	0	0.00	0.00	0	0.000	0	clean
S09	contig_23	59973	other	4.7	4064	0	0.00	0.00	0	0.000	0	clean
S09	contig_33	58014	other	3.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_18	57427	other	4.0	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_6	56466	other	5.1	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_15	56316	other	5.2	2154	0	0.00	0.00	0	0.000	0	clean
S09	contig_20	55119	other	4.2	1683	63	37.43	0.29	827	0.015	1	clustered
S09	contig_24	52629	other	4.3	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_38	51578	other	5.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_8	49299	other	4.0	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_4	47019	other	4.0	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_1	44915	other	3.6	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_17	43814	other	3.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_11	43470	other	3.5	504	0	0.00	0.00	0	0.000	0	clean
S09	contig_13	38277	other	3.3	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_22	35435	other	5.2	322	23	71.43	0.38	305	0.009	1	clustered
S09	contig_37	33170	other	4.1	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_41	31515	other	4.8	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_31	31409	other	4.4	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_42	31405	other	6.5	696	0	0.00	0.00	0	0.000	0	clean
S09	contig_3	31314	other	3.6	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_39	30213	other	4.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_27	28086	other	3.8	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_12	25631	other	5.9	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_5	24964	other	3.6	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_29	24845	other	4.0	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_32	23104	other	3.1	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_34	22923	other	4.6	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_26	22166	other	3.4	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_7	21523	other	4.1	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_30	14945	other	3.1	309	1	3.24	0.30	0	0.000	1	clustered
S09	contig_9	13357	other	4.5	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_21	12795	other	3.2	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_25	11595	other	4.2	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_35	11332	other	4.4	753	1	1.33	0.27	0	0.000	1	clustered
S09	contig_28	11145	other	2.8	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_10	10782	other	3.1	0	0	0.00	0.00	0	0.000	0	clean
S09	contig_36	8850	other	20.1	8816	745	84.51	0.27	8744	0.988	1	DISPERSED
S10	contig_5	1578834	chromosome	13.6	1338843	31	0.02	0.48	284777	0.180	2	clustered
S10	contig_2	275424	chromosome	11.4	195711	0	0.00	0.00	0	0.000	0	clean
S10	contig_6	194175	chromosome	24.0	186899	0	0.00	0.00	0	0.000	0	clean
S10	contig_7	57488	other	31.6	57488	0	0.00	0.00	0	0.000	0	clean
S10	contig_10	57157	other	20.7	52503	0	0.00	0.00	0	0.000	0	clean
S10	contig_8	53301	other	26.9	53284	0	0.00	0.00	0	0.000	0	clean
S10	contig_4	12032	other	17.0	12031	0	0.00	0.00	0	0.000	0	clean
S11	contig_3	1984542	chromosome	47.6	1974452	0	0.00	0.00	0	0.000	0	clean
S11	contig_2	136360	chromosome	95.0	136360	0	0.00	0.00	0	0.000	0	clean
S11	contig_5	67166	other	49.4	67166	0	0.00	0.00	0	0.000	0	clean
S11	contig_4	28430	other	186.1	28430	0	0.00	0.00	0	0.000	0	clean
S11	contig_6	12020	other	36.8	12020	0	0.00	0.00	0	0.000	0	clean
S11	contig_1	2960	other	108.7	2960	0	0.00	0.00	0	0.000	0	clean
S12	contig_3	36232	APSE	1393.8	36232	0	0.00	0.00	0	0.000	0	clean
S12	contig_1	1100801	chromosome	57.9	1099259	128	0.12	0.38	1245	0.001	1	clustered
S12	contig_2	987018	chromosome	57.7	982561	358	0.36	0.48	9939	0.010	1	clustered
S12	contig_5	56390	other	117.0	56390	0	0.00	0.00	0	0.000	0	clean
S12	contig_6	31383	other	75.7	31383	0	0.00	0.00	0	0.000	0	clean
S12	contig_4	26045	other	310.5	26045	0	0.00	0.00	0	0.000	0	clean
S13	contig_4	35455	APSE	1085.9	35455	0	0.00	0.00	0	0.000	0	clean
S13	contig_1	1927204	chromosome	21.9	1913145	0	0.00	0.00	0	0.000	0	clean
S13	contig_2	166361	chromosome	27.1	141100	0	0.00	0.00	0	0.000	0	clean
S13	contig_3	40077	other	15.2	40049	0	0.00	0.00	0	0.000	0	clean
S14	contig_2	19800	APSE	13.4	15212	0	0.00	0.00	0	0.000	0	clean
S14	contig_1	1634175	chromosome	18.0	1548455	870	0.56	0.24	1175834	0.720	3	DISPERSED
S14	contig_6	145484	chromosome	17.6	143420	0	0.00	0.00	0	0.000	0	clean
S14	contig_7	123912	chromosome	15.2	113177	0	0.00	0.00	0	0.000	0	clean
S14	contig_3	58258	other	21.9	51804	0	0.00	0.00	0	0.000	0	clean
S14	contig_8	57500	other	38.3	57500	0	0.00	0.00	0	0.000	0	clean
S14	contig_4	57327	other	38.2	57316	3	0.05	0.21	2	0.000	1	clustered
S14	contig_5	17976	other	9.8	8283	0	0.00	0.00	0	0.000	0	clean
