sample	contig	length_bp	flye_coverage	circular	coverage_ratio_to_chromosome	best_taxonomic_match	pct_of_contig_covered	samples_sharing_it	plasmid_family	label	evidence
S09	contig_18	57427	4	N	0.80	HDEF_CHROM	100.0	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_06	56466	6	N	1.20	HDEF_CHROM	99.4	S08,S13	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_15	56316	5	N	1.00	HDEF_CHROM	98.4	S07	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_20	55119	4	N	0.80	HDEF_CHROM	65.4	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_24	52629	4	N	0.80	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_38	51578	5	N	1.00	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_08	49299	4	N	0.80	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_04	47019	4	N	0.80	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_01	44915	4	N	0.80	HDEF_CHROM	86.2	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_17	43814	3	N	0.60	HDEF_CHROM	96.8	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_11	43470	4	N	0.80	HDEF_CHROM	35.4	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_13	38277	3	N	0.60	HDEF_CHROM	66.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_43	36922	169	Y	33.80	APSE	100.0	S08	-	APSE phage	aligns to a reconstructed APSE genome
S09	contig_22	35435	5	N	1.00	HDEF_CHROM	100.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_37	33170	4	N	0.80	HDEF_CHROM	98.9	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_41	31515	5	N	1.00	HDEF_CHROM	24.8	S07	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_31	31409	5	N	1.00	HDEF_CHROM	100.0	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_42	31405	7	Y	1.40	HDEF_PLASMID	100.0	S12	P11	plasmid	assembled as a closed circle; family P11
S09	contig_03	31314	4	N	0.80	HDEF_CHROM	52.8	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_39	30213	4	N	0.80	HDEF_CHROM	100.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_27	28086	4	N	0.80	HDEF_CHROM	96.1	S07	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_12	25631	6	N	1.20	HDEF_PLASMID	80.5	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_05	24964	5	N	1.00	HDEF_CHROM	100.0	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_29	24845	5	N	1.00	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_32	23104	3	N	0.60	HDEF_CHROM	100.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_34	22923	5	N	1.00	HDEF_CHROM	93.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_26	22166	3	N	0.60	HDEF_CHROM	100.0	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_07	21523	4	N	0.80	HDEF_CHROM	90.8	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_30	14945	3	N	0.60	HDEF_CHROM	98.7	S05,S07	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_09	13357	5	N	1.00	HDEF_PLASMID	98.9	S02	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_21	12795	3	N	0.60	HDEF_CHROM	100.0	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_25	11595	4	N	0.80	HDEF_CHROM	100.0	S12	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_35	11332	4	N	0.80	HDEF_CHROM	100.0	S08	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_28	11145	3	N	0.60	HDEF_CHROM	91.8	S05	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S09	contig_10	10782	4	N	0.80	HDEF_PLASMID	57.6	-	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S10	contig_01	2042160				HDEF_CHROM	94.1	S14	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S10	contig_07	57488	32	Y		HDEF_CHROM	64.0	S14	P04	plasmid	assembled as a closed circle; family P04
S10	contig_10	57157	22	Y		HDEF_CHROM	68.4	S14	P06	plasmid	assembled as a closed circle; family P06
S10	contig_08	53301	27	N		HDEF_CHROM	6.0	S14	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S10	contig_04	12032	17	N		HDEF_CHROM	98.8	S14	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
S11	contig_03	1984542	48	N	1.00	HDEF_CHROM	83.2	-	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S11	contig_02	136360	95	Y	1.98	HDEF_PLASMID	36.4	S06	P01	plasmid	assembled as a closed circle; family P01
S11	contig_05	67166	51	Y	1.06	HDEF_CHROM	15.5	S01	P05	plasmid	assembled as a closed circle; family P05
S11	contig_04	28430	190	N	3.96	HDEF_PLASMID	10.4	S06	P14	plasmid fragment	not circular, and 86% of it is contained in S01|contig_06, which is circular
S11	contig_06	12020	37	Y	0.77	HDEF_CHROM	63.5	S01	P16	plasmid	assembled as a closed circle; family P16
S11	contig_01	2960	111	N	2.31	NONE	0.0	S06	P17	plasmid fragment	not circular, and 100% of it is contained in S01|contig_06, which is circular
S12	contig_01	2105096				HDEF_CHROM	91.7	S05	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S12	contig_05	56390	125	Y		HDEF_CHROM	63.9	S14	P04	plasmid	assembled as a closed circle; family P04
S12	contig_06	31383	77	Y		HDEF_PLASMID	100.0	S09	P11	plasmid	assembled as a closed circle; family P11
S12	contig_04	26045	311	Y		HDEF_PLASMID	100.0	S07	P15	plasmid	assembled as a closed circle; family P15
S13	contig_01	2111877				HDEF_CHROM	87.6	S04	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S13	contig_03	40077	16	Y		HDEF_PLASMID	54.9	S03	P11	plasmid	assembled as a closed circle; family P11
S14	contig_01	1634175	17	N	1.00	HDEF_CHROM	95.0	S10	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S14	contig_06	145484	18	N	1.06	HDEF_CHROM	96.2	S10	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S14	contig_07	123912	16	N	0.94	HDEF_CHROM	87.6	S10	-	chromosome	H. defensa sequence; placement unchanged from the 2024 curation
S14	contig_03	58258	24	Y	1.41	HDEF_CHROM	72.1	S10	P06	plasmid	assembled as a closed circle; family P06
S14	contig_08	57500	39	Y	2.29	HDEF_CHROM	64.7	S10	P04	plasmid	assembled as a closed circle; family P04
S14	contig_04	57327	40	N	2.35	HDEF_CHROM	9.6	S10	P07	plasmid, not circularised	groups with plasmid family P07, but the assembler did not close it into a circle
S14	contig_02	19800	14	N	0.82	APSE	100.0	S10	-	APSE phage	aligns to a reconstructed APSE genome
S14	contig_05	17976	8	N	0.47	HDEF_CHROM	100.0	S10	-	unplaced	H. defensa sequence; placement unchanged from the 2024 curation
