assembly	win_start	call
r2_RHS	47000	CdtB
r2_RHS	48000	neither
r2_RHS	49000	CdtB
r2_RHS	50000	same
r2_RHS	51000	CdtB
r2_RHS	52000	neither
r2_RHS	53000	neither
r2_RHS	54000	neither
r2_RHS	55000	neither
r2_RHS	56000	neither
r2_RHS	57000	RHS
r2_RHS	58000	neither
r2_RHS	59000	same
r2_RHS	60000	same
r2_RHS	61000	RHS
r2_RHS	62000	neither
r2_RHS	63000	neither
r2_RHS	64000	same
r2_RHS	65000	neither
r2_RHS	66000	neither
r2_RHS	67000	neither
r2_RHS	68000	neither
r2_RHS	69000	neither
r2_RHS	70000	same
r2_RHS	71000	same
r2_RHS	72000	neither
r2_RHS	73000	neither
r2_RHS	74000	same
r2_RHS	75000	neither
r2_RHS	76000	same
r2_RHS	77000	neither
r3_RHS	0	same
r3_RHS	1000	same
r3_RHS	2000	same
r3_RHS	3000	RHS
r3_RHS	4000	RHS
r3_RHS	5000	RHS
r3_RHS	6000	RHS
r3_RHS	7000	RHS
r3_RHS	8000	neither
r3_RHS	9000	RHS
r3_RHS	10000	RHS
r3_RHS	11000	same
r3_RHS	12000	same
r3_RHS	13000	same
r3_RHS	14000	same
r3_RHS	15000	RHS
r3_RHS	16000	RHS
r3_RHS	17000	RHS
r3_RHS	18000	RHS
r3_RHS	19000	RHS
r3_RHS	20000	RHS
r3_RHS	21000	same
r3_RHS	22000	same
r3_RHS	23000	same
r3_RHS	24000	RHS
r3_RHS	25000	RHS
r3_RHS	26000	RHS
r3_RHS	27000	RHS
r3_RHS	28000	RHS
r3_RHS	29000	RHS
r3_RHS	30000	RHS
r3_RHS	31000	RHS
r3_RHS	32000	RHS
r3_RHS	33000	RHS
r3_RHS	34000	RHS
r3_RHS	35000	same
r3_RHS	36000	same
r3_RHS	37000	same
r3_RHS	38000	same
r3_CdtB	0	CdtB
r3_CdtB	1000	CdtB
r3_CdtB	2000	CdtB
r3_CdtB	3000	CdtB
r3_CdtB	4000	same
r3_CdtB	5000	same
r3_CdtB	6000	same
r3_CdtB	7000	same
r3_CdtB	8000	CdtB
r3_CdtB	9000	CdtB
r3_CdtB	10000	CdtB
r3_CdtB	11000	CdtB
r3_CdtB	12000	CdtB
r3_CdtB	13000	same
r3_CdtB	14000	same
r3_CdtB	15000	same
r3_CdtB	16000	same
r3_CdtB	17000	same
r3_CdtB	18000	CdtB
r3_CdtB	19000	CdtB
r3_CdtB	20000	CdtB
r3_CdtB	21000	CdtB
r3_CdtB	22000	same
r3_CdtB	23000	same
r3_CdtB	24000	same
r3_CdtB	25000	same
r3_CdtB	26000	same
r3_CdtB	27000	same
r3_CdtB	28000	same
r3_CdtB	29000	same
r3_CdtB	30000	RHS
r3_CdtB	31000	RHS
r3_CdtB	32000	RHS
r3_CdtB	33000	RHS
r3_CdtB	34000	RHS
r3_CdtB	35000	CdtB
r3_CdtB	36000	CdtB
r3_CdtB	37000	CdtB
r4_RHS	0	RHS
r4_RHS	1000	same
r4_RHS	2000	same
r4_RHS	3000	same
r4_RHS	4000	same
r4_RHS	5000	same
r4_RHS	6000	same
r4_RHS	7000	same
r4_RHS	8000	RHS
r4_RHS	9000	same
r4_RHS	10000	RHS
r4_RHS	11000	RHS
r4_RHS	12000	RHS
r4_RHS	13000	RHS
r4_RHS	14000	RHS
r4_RHS	15000	RHS
r4_RHS	16000	RHS
r4_RHS	17000	RHS
r4_RHS	18000	same
r4_RHS	19000	same
r4_RHS	20000	same
r4_RHS	21000	same
r4_RHS	22000	RHS
r4_RHS	23000	RHS
r4_RHS	24000	RHS
r4_RHS	25000	RHS
r4_RHS	26000	RHS
r4_RHS	27000	same
r4_RHS	28000	same
r4_RHS	29000	same
r4_RHS	30000	same
r4_RHS	31000	same
r4_RHS	32000	RHS
r4_RHS	33000	RHS
r4_RHS	34000	neither
r4_RHS	35000	RHS
r4_RHS	36000	RHS
r4_RHS	37000	RHS
r4_RHS	38000	RHS
r4_CdtB	0	CdtB
r4_CdtB	1000	CdtB
r4_CdtB	2000	CdtB
r4_CdtB	3000	CdtB
r4_CdtB	4000	same
r4_CdtB	5000	same
r4_CdtB	6000	same
r4_CdtB	7000	same
r4_CdtB	8000	CdtB
r4_CdtB	9000	CdtB
r4_CdtB	10000	CdtB
r4_CdtB	11000	CdtB
r4_CdtB	12000	CdtB
r4_CdtB	13000	CdtB
r4_CdtB	14000	same
r4_CdtB	15000	same
r4_CdtB	16000	same
r4_CdtB	17000	CdtB
r4_CdtB	18000	CdtB
r4_CdtB	19000	CdtB
r4_CdtB	20000	CdtB
r4_CdtB	21000	CdtB
r4_CdtB	22000	CdtB
r4_CdtB	23000	CdtB
r4_CdtB	24000	CdtB
r4_CdtB	25000	CdtB
r4_CdtB	26000	neither
r4_CdtB	27000	CdtB
r4_CdtB	28000	CdtB
r4_CdtB	29000	same
r4_CdtB	30000	RHS
r4_CdtB	31000	RHS
r4_CdtB	32000	same
r4_CdtB	33000	same
r4_CdtB	34000	same
r4_CdtB	35000	same
r4_CdtB	36000	same
r4_CdtB	37000	same
r4_CdtB	38000	same
r5_RHS	0	RHS
r5_RHS	1000	RHS
r5_RHS	2000	RHS
r5_RHS	3000	same
r5_RHS	4000	same
r5_RHS	5000	same
r5_RHS	6000	same
r5_RHS	7000	RHS
r5_RHS	8000	RHS
r5_RHS	9000	RHS
r5_RHS	10000	RHS
r5_RHS	11000	RHS
r5_RHS	12000	RHS
r5_RHS	13000	same
r5_RHS	14000	same
r5_RHS	15000	same
r5_RHS	16000	RHS
r5_RHS	17000	RHS
r5_RHS	18000	RHS
r5_RHS	19000	RHS
r5_RHS	20000	RHS
r5_RHS	21000	RHS
r5_RHS	22000	RHS
r5_RHS	23000	RHS
r5_RHS	24000	same
r5_RHS	25000	RHS
r5_RHS	26000	same
r5_RHS	27000	same
r5_RHS	28000	same
r5_RHS	29000	same
r5_RHS	30000	same
r5_RHS	31000	same
r5_RHS	32000	same
r5_RHS	33000	same
r5_RHS	34000	RHS
r5_RHS	35000	RHS
r5_RHS	36000	RHS
r5_RHS	37000	RHS
r5_RHS	38000	RHS
r5_CdtB	0	CdtB
r5_CdtB	1000	CdtB
r5_CdtB	2000	CdtB
r5_CdtB	3000	same
r5_CdtB	4000	CdtB
r5_CdtB	5000	same
r5_CdtB	6000	same
r5_CdtB	7000	same
r5_CdtB	8000	same
r5_CdtB	9000	same
r5_CdtB	10000	same
r5_CdtB	11000	same
r5_CdtB	12000	CdtB
r5_CdtB	13000	CdtB
r5_CdtB	14000	CdtB
r5_CdtB	15000	CdtB
r5_CdtB	16000	same
r5_CdtB	17000	same
r5_CdtB	18000	same
r5_CdtB	19000	same
r5_CdtB	20000	same
r5_CdtB	21000	CdtB
r5_CdtB	22000	CdtB
r5_CdtB	23000	CdtB
r5_CdtB	24000	CdtB
r5_CdtB	25000	CdtB
r5_CdtB	26000	same
r5_CdtB	27000	same
r5_CdtB	28000	same
r5_CdtB	29000	same
r5_CdtB	30000	CdtB
r5_CdtB	31000	CdtB
r5_CdtB	32000	CdtB
r5_CdtB	33000	CdtB
r5_CdtB	34000	CdtB
r5_CdtB	35000	CdtB
r5_CdtB	36000	CdtB
r5_CdtB	37000	CdtB
r2b_RHS	0	RHS
r2b_RHS	1000	same
r2b_RHS	2000	RHS
r2b_RHS	3000	RHS
r2b_RHS	4000	RHS
r2b_RHS	5000	same
r2b_RHS	6000	RHS
r2b_RHS	7000	RHS
r2b_RHS	8000	RHS
r2b_RHS	9000	RHS
r2b_RHS	10000	same
r2b_RHS	11000	same
r2b_RHS	12000	same
r2b_RHS	13000	same
r2b_RHS	14000	RHS
r2b_RHS	15000	RHS
r2b_RHS	16000	RHS
r2b_RHS	17000	RHS
r2b_RHS	18000	RHS
r2b_RHS	19000	same
r2b_RHS	20000	same
r2b_RHS	21000	same
r2b_RHS	22000	same
r2b_RHS	23000	same
r2b_RHS	24000	RHS
r2b_RHS	25000	RHS
r2b_RHS	26000	neither
r2b_RHS	27000	RHS
r2b_RHS	28000	RHS
r2b_RHS	29000	RHS
r2b_RHS	30000	RHS
r2b_RHS	31000	RHS
r2b_RHS	32000	same
r2b_RHS	33000	same
r2b_RHS	34000	same
r2b_RHS	35000	same
r2b_RHS	36000	same
r2b_RHS	37000	same
r2b_CdtB	0	CdtB
r2b_CdtB	1000	CdtB
r2b_CdtB	2000	CdtB
r2b_CdtB	3000	CdtB
r2b_CdtB	4000	CdtB
r2b_CdtB	5000	CdtB
r2b_CdtB	6000	CdtB
r2b_CdtB	7000	same
r2b_CdtB	8000	CdtB
r2b_CdtB	9000	CdtB
r2b_CdtB	10000	RHS
r2b_CdtB	11000	RHS
r2b_CdtB	12000	same
r2b_CdtB	13000	RHS
r2b_CdtB	14000	same
r2b_CdtB	15000	same
r2b_CdtB	16000	same
r2b_CdtB	17000	same
r2b_CdtB	18000	same
r2b_CdtB	19000	same
r2b_CdtB	20000	same
r2b_CdtB	21000	CdtB
r2b_CdtB	22000	CdtB
r2b_CdtB	23000	CdtB
r2b_CdtB	24000	CdtB
r2b_CdtB	25000	same
r2b_CdtB	26000	same
r2b_CdtB	27000	same
r2b_CdtB	28000	same
r2b_CdtB	29000	same
r2b_CdtB	30000	CdtB
r2b_CdtB	31000	CdtB
r2b_CdtB	32000	CdtB
r2b_CdtB	33000	CdtB
r2b_CdtB	34000	CdtB
r2b_CdtB	35000	RHS
r2b_CdtB	36000	same
r2b_CdtB	37000	same
r2b_CdtB	38000	same
