# Provenance for the version 2.0 sequences. FASTA headers are kept NCBI-clean;
# everything about how a sequence was produced is recorded here.
sequence	file	length	topology	origin	method	assembler	depth_used	v1_contigs_of_origin	validation
S02_v2	assemblies_v2/S02_v2.fasta	2021016	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added; one contig of aphid DNA removed, which aligns end to end to the aphid genome assembled from the same reads (contig_06, 12,126 bp)	n/a	n/a	13 contigs	every retained sequence byte-identical to the 2024 delivery
S03_v2	assemblies_v2/S03_v2.fasta	1984000	mixed	2024 curated assembly	prophage spliced into contig_21 at attB 37,946-38,007 (62 bp integrase-A core); the standalone APSE contig removed; four contigs of aphid DNA removed (contig_10, contig_12, contig_13, contig_15; 43,204 bp)	n/a	n/a	17 contigs	see the change column
S04_v2	assemblies_v2/S04_v2.fasta	2151406	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	2 contigs	sequence byte-identical to the 2024 delivery
S05_v2	assemblies_v2/S05_v2.fasta	2281355	mixed	2024 curated assembly	two prophages spliced in; three APSE-derived contigs and the standalone APSE contig removed; three contigs of aphid DNA removed (contig_15, contig_16, contig_17; 25,957 bp)	n/a	n/a	12 contigs	see the change column
S06_v2	assemblies_v2/S06_v2.fasta	2294161	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	7 contigs	sequence byte-identical to the 2024 delivery
S07_v2	assemblies_v2/S07_v2.fasta	2287822	mixed	2024 curated assembly	two prophages spliced in; the chimeric APSE contig removed	n/a	n/a	4 contigs	see the change column
S08_v2	assemblies_v2/S08_v2.fasta	2071098	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added; one contig of aphid DNA removed, which aligns end to end to the aphid genome assembled from the same reads (contig_21, 11,121 bp)	n/a	n/a	30 contigs	every retained sequence byte-identical to the 2024 delivery
S09_v2	assemblies_v2/S09_v2.fasta	1757953	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added; one contig of aphid DNA removed, which aligns end to end to the aphid genome assembled from the same reads (contig_36, 8,850 bp)	n/a	n/a	42 contigs	every retained sequence byte-identical to the 2024 delivery
S10_v2	assemblies_v2/S10_v2.fasta	2222138	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added; two scaffold gaps in contig_01 filled from the assembly graph (see the S10_v2 contig_01 row)	n/a	n/a	5 contigs	every sequence except contig_01 byte-identical to the 2024 delivery
S11_v2	assemblies_v2/S11_v2.fasta	2231478	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	6 contigs	sequence byte-identical to the 2024 delivery
S12_v2	assemblies_v2/S12_v2.fasta	2218914	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	4 contigs	sequence byte-identical to the 2024 delivery
S13_v2	assemblies_v2/S13_v2.fasta	2151954	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	2 contigs	sequence byte-identical to the 2024 delivery
S14_v2	assemblies_v2/S14_v2.fasta	2114432	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	8 contigs	sequence byte-identical to the 2024 delivery
S10_v2 contig_01	assemblies_v2/S10_v2.fasta	2048446	linear	2024 chromosome with two scaffold gaps filled	the 2024 curation joined three FLYE contigs with 100 bp N placeholders; reads crossing both joins carry ~3,240 bp the assembly lacked. The missing sequence is edge_1, a 3,243 bp repeat present three times in this genome, whose terminal copies had been trimmed from contig_6 and contig_2 during scaffolding. Both gaps refilled with edge_1 reverse-complemented, taken from the FLYE assembly graph and confirmed against reads at 99.9 percent identity	minimap2 2.31 / samtools 1.24	n/a	contig_01	+6,286 bp, 200 Ns removed; 10/17/13/8 reads cross the four new boundaries cleanly, one zero-coverage base
